form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag,source,page,language_id
monsang324,kʰi:r,3.pl.1.pl.incl.nfut.neg,ì-kʰíːr-máː-hé,ìΣmááhé,i ¹ Σ m aa ⁵ h e ⁵,ì+Σ+máá+hé,i ¹ + Σ + m aa ⁵ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang325,kʰi:r,3.sg.2.sg.nfut.neg,ì-kʰíːr-máʔ,ìΣmáʔ,i ¹ Σ m a ⁵ ʔ,ì+Σ+máʔ,i ¹ + Σ + m a ⁵ ʔ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang326,kʰi:r,3.sg.2.pl.nfut.neg,ì-kʰíːr-máʔ,ìΣmáʔ,i ¹ Σ m a ⁵ ʔ,ì+Σ+máʔ,i ¹ + Σ + m a ⁵ ʔ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang327,kʰi:r,3.pl.2.sg.nfut.neg,ì-kʰíːr-máː-hé,ìΣmááhé,i ¹ Σ m aa ⁵ h e ⁵,ì+Σ+máá+hé,i ¹ + Σ + m aa ⁵ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang328,kʰi:r,3.pl.2.pl.nfut.neg,ì-kʰíːr-máː-hé,ìΣmááhé,i ¹ Σ m aa ⁵ h e ⁵,ì+Σ+máá+hé,i ¹ + Σ + m aa ⁵ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang329,kʰi:r,3.sg.3.sg.nfut.neg,kʰìːr-máʔ,Σmáʔ,Σ m a ⁵ ʔ,Σ+máʔ,Σ + m a ⁵ ʔ,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang330,mu,3.sg.3.sg.nfut.neg,m̥ù-màʔ,Σmàʔ,Σ m a ¹ ʔ,Σ+màʔ,Σ + m a ¹ ʔ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang331,kʰi:r,3.sg.3.pl.nfut.neg,kʰìːr-máː-hé,Σmááhé,Σ m aa ⁵ h e ⁵,Σ+máá+hé,Σ + m aa ⁵ + h e ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang332,mu,3.sg.3.pl.nfut.neg,m̥ù-màː-hé,Σmààhé,Σ m aa ¹ h e ⁵,Σ+màà+hé,Σ + m aa ¹ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang333,kʰi:r,3.pl.3.sg.nfut.neg,kʰìːr-máː-hé,Σmááhé,Σ m aa ⁵ h e ⁵,Σ+máá+hé,Σ + m aa ⁵ + h e ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang334,mu,3.pl.3.sg.nfut.neg,m̥ù-màː-hé,Σmààhé,Σ m aa ¹ h e ⁵,Σ+màà+hé,Σ + m aa ¹ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang335,kʰi:r,3.pl.3.pl.nfut.neg,kʰìːr-máː-hé,Σmááhé,Σ m aa ⁵ h e ⁵,Σ+máá+hé,Σ + m aa ⁵ + h e ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang336,mu,3.pl.3.pl.nfut.neg,m̥ù-màː-hé,Σmààhé,Σ m aa ¹ h e ⁵,Σ+màà+hé,Σ + m aa ¹ + h e ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
